"job_title","job_type","slug","description","city_id","region_id","due_date","status","created_at","updated_at","number_of_vacancy","experience","gender","salary"
"web-developer","fulltime","private-household-cook","REQUIREMENTS: 
Minimum 5 years of system analysis and application development supplemented by a post secondary IT degree/diploma. 
Experience in object-oriented software application development and design.
Broad knowledge of computer systems technology, programming and design techniques.
Strong programming skills in .NET (C#), Web Services. 
Experience with application development using SQL.
Experience with development methodologies is an asset.
Excellent communications skills required.","71567 Balistreri Turnpike
North Dejah, WA 06521-8614","52270 Von Mount Apt. 288
Carolinatown, MN 01483","14/10/1971","1","16/4/2019 20:13:25","16/4/2019 20:13:25","10","5","female","9218"
"Web Developer","fulltime","telephone-station-installer-and-repairer","Bachelor of Science degree in Computer Science or equivalent
Five (5) plus years experience working as a Web Developer 
Proficient with HTML, CSS, and JavaScript
One (1) year of experience working with E-Commerce
Must possess strong communication skills and the ability to work on multiple projects at once
Good interpersonal, organizational and analytical skills
Ability to work in an agile, fast paced environment ","6604 Annalise Walk
Garnethaven, CO 20267-1336","67349 Timmothy Crest
Mayertburgh, SC 04734-9697","26/9/1973","0","12/7/2019 14:03:54","12/7/2019 14:03:54","9","3","male","11636"
"Business Management","fulltime","occupational-therapist","We’re looking for passionate Business Leaders or Writers to work online answering advanced engineering questions sent from students all over the world. As a contract Business Management Expert, you'll receive the following:

Reliable Payments: Timely, reliable payments twice a month
Independence: No waiting, no assignments, and a massive library of questions for you to choose from
Flexibility: Work from anywhere, at any time, completely online
Supportive Staff: Access to a supportive in-house team to answer your questions
What we’re looking for:

Expertise in advanced topics in Business Management
Strong English-language Reading and Writing skills","67003 Lacy Curve
Scotville, SC 76401-7403","921 Schneider Turnpike
South Donniestad, OK 62224-9919","28/2/1979","1","19/2/2019 05:04:21","19/2/2019 05:04:21","6","5","male","14065"
"Water Resources Engineer","fulltime","order-filler","The successful candidate will also have:

* A current P.Eng or E.I.T. designation with Professional Engineers Ontario.
* Familiarization with CAD software (AutoCAD Civil 3D or MicroStation).
* Familiarization with construction inspection and administration.
* Experience preparing written reports (SWMR, FSR, Design Briefs).
* Expert knowledge of industry-standard hydrologic and hydraulic modelling software packages.
* Expert knowledge of municipal sewer design in accordance with local policies and procedures.
* Extensive knowledge of local municipal, provincial and conservation authority policies and regulations, specifications and approvals process.
* Extensive knowledge of local municipality standards, specifications, tendering and approvals process.","46694 Kessler Via Suite 118
West Josuetown, NJ 47020","2802 Aurore Via Suite 896
Janniehaven, GA 81562-4805","25/11/2013","0","12/6/2019 18:38:58","12/6/2019 18:38:58","9","1","male","19296"
"IT Helpdesk Technician","parttime","sales-representative","Demonstrated interest in IT troubleshooting, providing a better solution, and self improvement Experience working in a fast paced, results driven environment Proven track record of excellent customer service in 500+ users environments Familiarity with MacOS, iOS, GSuite, Windows, Box, Imaging/deployment, network printers Solid troubleshooting and research skills across multi platform desktop and networking issues Excellent communication and interpersonal skills and a positive attitude are a must Ability to respond to rapidly changing priorities, tight timelines, and a fast-paced environment Experience in imaging MacOS and Windows systems","226 Berge Junctions
New Sheaborough, MN 67815","65151 Salvatore Circles Apt. 349
Alexaneton, RI 95446-5442","2/9/1978","0","26/7/2019 02:06:09","26/7/2019 02:06:09","9","5","female","14149"
"Financial Analyst","fulltime","professor","The qualified candidate must have:
A Bachelor's Degree or equivalent work experience in IT and/or business administration. Finance accountancy/ finance degree preferable;
Five plus (5+) years of Project/Financial Analyst experience in complex projects with direct support responsibilities to project/program manager(s);
Experience supporting the management of project financials (budget, forecast, variance) of at least $1M;
Experience working within Health Authorities;
Analytical skills including the ability to comprehend, analyze, and resolve complex issues and present information in concise meaningful ways;
Demonstrated ability to use database, spreadsheet and word processing software at an advanced level. MS Office Suite products, particularly MS PowerPoint and MS Excel (Knowledge with Macros/Pivot tables, SUM_IF, IF_THEN, VLOOKUP);
Working knowledge of projects and various reporting/analytical tools;
Demonstrated understanding of the Project Delivery Life Cycle;
Experience working in a project environment involving PMO and multiple stakeholder(s);
The ability to work effectively as part of a team;
The ability to work independently with minimal supervision;
Highly developed business writing and verbal communication skills with the ability to document work appropriately, including executive briefing notes;
Demonstrated ability to exercise tact, good judgment, and initiative; and,
Mainstream project management software/tools experience preferred.","312 May Trafficway
New Terrill, OR 47112-0411","4639 Kreiger Fields
South Jaylan, NJ 56961","12/12/1977","0","27/6/2019 14:31:56","27/6/2019 14:31:56","6","8","female","16541"
"Call Center Manager","fulltime","plasterer-or-stucco-mason","Hire, train and onboard new Call Center Agents as required to meet quotas
Provide coaching and assistance to call center agents on an ongoing basis
Process weekly sales leads reports for submission to management
Oversee and ensure conflict resolution between associates and customers
Ensure that all employees follow the company’s best practices for call center management and operations
Develop presentations and talks to motivate and educate call center agents
Communicate company goals to associates so every employee understands his or her role
Conduct periodic surveys of customers and potential customers to ensure quality control","6359 Spinka Way
Considinechester, WI 03475-1078","64866 Devon Lights
Busterton, IA 35171-4238","12/1/1986","1","17/5/2019 04:41:29","17/5/2019 04:41:29","9","3","female","10876"
"Office Clerk - Billing","fulltime","mining-engineer-or-geological-engineer","your responsibilities 

Filling
Data entry - billing
Perform other related clerical tasks
our offer

Temporary employment for an indefinite period
Schedule from Monday to Friday 8:00-5:00
$16/hour
Entry into office as of Tuesday June 18th
Location in Dorval
our expectations

Experience in an administrative role
Good computer skills
Works well and efficiently
Thorough","836 Dereck Way
Douglasland, SD 85577-6582","161 Kuhn Ports
Wilfridtown, DC 95311-8370","22/7/1992","0","30/7/2019 17:41:12","30/7/2019 17:41:12","5","7","male","18044"
"Full Stack Web Developer ","fulltime","stock-clerk","Programming Languages / Protocols / Frameworks (5+ years):
HTML5
CSS3 and Sass
JavaScript
jQuery and promises
JSON
HTTP/HTTPS REST
CORS
OAuth2
sessionStorage, localStorage, indexedDB
Angular
Bootstrap
.Net Core
C#
Full stack development implementing web, distributed and service-oriented architectures and technologies","75921 Camron Unions
West Roger, ME 72288","14499 Schneider Point Suite 803
South Isabellton, OK 76805","9/1/1981","1","6/4/2019 15:24:36","6/4/2019 15:24:36","8","7","male","7054"
"Low Level Software Developer","contract","secretary","Responsibilities:
-Develop software drivers for various hardware peripherals including adaptation of existing drivers
-Examples of hardware peripherals requiring drivers: Ethernet, USB, Serial (UART, QUAD SPI, I2C), PCIe, eMMC, DSI MiPi,  etc.
-Enhancement of existing board support packages
-Bring up of new in-house developed HW modules
-Development of new driver architectures to support future hardware peripheral advancements
-Test and debug BSP SW as required to ensure code is passing quality standards
-Extend existing SW architecture for new features","35194 Macejkovic Isle Apt. 049
Port Jonathon, AL 30442-3595","83050 Stanton Fall Suite 367
Mosciskimouth, WI 10406-1355","7/10/1978","1","30/3/2019 02:34:03","30/3/2019 02:34:03","7","7","female","17003"
